Instruction,Type,Opcode,Funct3,Funct7,BitConstraint,Action1,Action2,DisplayFormat,IsBranch,IsIndirectJump,MemoryAccessFunction,ALUFunction,ValCFunction,PositiveOptionPC,NegativeOptionPC,EStagePeriod,dstE,dstM,M_valE_Source
add,R,0x33,0x0,0x00,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 + t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1+t2,,return pc+4,return 0,,Rd,,e_valE
mul,R,0x33,0x0,0x01,,"t1, t2:=r.Load(rs1), r.Load(rs2); _,lo:=bit_utils.MulI64I64(int64(t1),int64(t2)); r.Store(rd, uint64(lo));",*pc += 4;,DSS,FALSE,FALSE,,"_,lo:=bit_utils.MulI64I64(int64(t1),int64(t2)); output=uint64(lo)",,return pc+4,return 0,,Rd,,e_valE
sub,R,0x33,0x0,0x20,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 - t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1-t2,,return pc+4,return 0,,Rd,,e_valE
sll,R,0x33,0x1,0x00,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 << t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1<<t2,,return pc+4,return 0,,Rd,,e_valE
mulh,R,0x33,0x1,0x01,,"t1, t2:=r.Load(rs1), r.Load(rs2); hi,_:=bit_utils.MulI64I64(int64(t1),int64(t2)); r.Store(rd, uint64(hi));",*pc += 4;,DSS,FALSE,FALSE,,"hi,_:=bit_utils.MulI64I64(int64(t1),int64(t2)); output=uint64(hi)",,return pc+4,return 0,,Rd,,e_valE
slt,R,0x33,0x2,0x00,,"t1, t2:=int64(r.Load(rs1)), int64(r.Load(rs2)); if t1<t2 {r.Store(rd, 1)} else{r.Store(rd, 0)};",*pc += 4;,DSS,FALSE,FALSE,,if t1<t2{output=1}else{output=0},,return pc+4,return 0,,Rd,,e_valE
xor,R,0x33,0x4,0x00,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 ^ t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1^t2,,return pc+4,return 0,,Rd,,e_valE
div,R,0x33,0x4,0x01,,"t1, t2:=int64(r.Load(rs1)), int64(r.Load(rs2)); if t2==0 {r.Store(rd, bit_utils.SignExtU64(-1))} else if t1==-(1<<(XLEN-1)) && t2==-1 {r.Store(rd, uint64(1)<<(XLEN-1))} else {r.Store(rd, uint64(t1 / t2))}",*pc += 4;,DSS,FALSE,FALSE,, if t2==0 {output=bit_utils.SignExtU64(-1)} else if int64(t1)==-(1<<(XLEN-1)) && int64(t2)==-1 {output=uint64(1)<<(XLEN-1)} else {output=uint64(int64(t1) / int64(t2))},,return pc+4,return 0,1,Rd,,e_valE
srl,R,0x33,0x5,0x00,,"t1, t2:=r.Load(rs1), r.Load(rs2); r.Store(rd, t1 >> t2);",*pc += 4;,DSS,FALSE,FALSE,,output=t1>>t2,,return pc+4,return 0,,Rd,,e_valE
sra,R,0x33,0x5,0x20,,"t1, t2:=r.Load(rs1), r.Load(rs2); v:=int64(t1)>>t2;r.Store(rd, uint64(v));",*pc += 4;,DSS,FALSE,FALSE,,output=uint64(int64(t1)>>t2),,return pc+4,return 0,,Rd,,e_valE
